,#,Model,GR#,GROUP_NAME,GDT_TS,NP_P,RANK,Z-M1-GDT,Z-MA-GDT,GDT_HA,GDC_SC,GDC_ALL,RMS_CA,RMS_ALL,NP,err,AL0_P,AL4_P,ALI_P,LGA_S,RMSD[L],Z-score[M],Z-Score[D],Al.Res.,RMSD[D],MolPrb_Score,LDDT,SphGr,CAD_AA,RPF,CODM,DFM,Handed.,SOV,CE,QCS,CONTS,TMscore,Dali(raw),FlexE,QSE,CAD_SS,MP_clash,MP_rotout,MP_ramout,MP_ramfv,reLLG_lddt,reLLG_const,Target
58,59,T1104TS462_1,462s,MultiFOLD,78.85,100.0,57,-0.02,0.19,62.82,39.6,50.17,2.591,3.12,117,0,74.36,91.45,91.45,73.811,1.76,8.06,18.1,115,2.1,1.31,0.72,87.61,0.75,0.77,0.94,0.18,0.92,93.8,5.86,86.98,89.19,0.81,915.5,21.49,80.67,0.55,2.77,2.11,0.0,98.26,1.15,1.07,T1104
59,60,T1104TS086_1,086s,MULTICOM_qa,78.63,100.0,60,-0.04,0.18,63.89,36.94,46.37,2.701,3.202,117,0,72.65,91.45,91.45,73.32,1.9,8.06,17.9,115,2.4,1.06,0.73,86.75,0.75,0.77,0.94,0.18,0.92,94.0,5.86,86.65,88.48,0.79,908.0,21.37,79.89,0.54,2.77,0.0,0.87,98.26,0.83,0.73,T1104
60,61,T1104TS125_1,125s,UltraFold_Server,78.63,100.0,60,-0.04,0.18,62.39,40.82,50.66,2.614,3.115,117,0,73.5,91.45,91.45,74.176,1.8,7.95,18.2,115,2.3,1.22,0.73,88.03,0.75,0.77,0.94,0.18,0.92,94.2,5.86,87.37,89.42,0.81,921.9,21.67,81.08,0.54,4.43,0.0,0.0,99.13,1.28,1.14,T1104
61,62,T1104TS466_1,466s,Shennong,78.42,100.0,62,-0.05,0.17,62.61,40.02,48.24,2.726,3.216,117,0,72.65,91.45,91.45,85.556,1.77,7.95,17.8,113,2.2,1.06,0.72,86.75,0.75,0.77,0.94,0.18,0.92,93.8,5.86,86.52,88.91,0.8,903.5,21.8,78.72,0.53,2.77,0.0,0.0,100.0,1.14,1.06,T1104
62,63,T1104TS245_1,245s,FoldEver,78.42,100.0,62,-0.05,0.17,63.25,37.93,46.55,2.718,3.241,117,0,71.79,90.6,90.6,74.444,1.82,8.06,17.8,115,2.4,1.0,0.72,85.9,0.75,0.77,0.94,0.18,0.92,93.7,5.86,86.37,88.55,0.79,903.5,21.02,78.0,0.54,2.22,0.0,0.0,99.13,5.15,4.39,T1104
63,64,T1104TS216_1,216,Seder2022hard,78.42,100.0,62,-0.05,0.17,60.47,36.63,48.83,2.356,2.968,117,3,84.62,94.87,94.87,86.823,1.74,7.95,18.2,115,2.1,1.73,0.69,88.89,0.73,0.76,0.95,0.16,0.93,97.7,5.86,88.92,89.27,0.82,923.2,22.32,49.02,0.5,9.42,0.0,1.74,96.52,0.04,0.87,T1104
64,65,T1104TS398_1,398,ChaePred,78.42,100.0,62,-0.05,0.17,60.47,36.63,48.83,2.356,2.968,117,3,84.62,94.87,94.87,86.823,1.74,7.95,18.2,115,2.1,1.73,0.69,88.89,0.73,0.76,0.95,0.16,0.93,97.7,5.86,88.92,89.27,0.82,923.2,22.32,83.51,0.5,9.42,0.0,1.74,96.52,1.17,0.87,T1104
65,66,T1104TS003_1,003,MULTICOM_human,78.42,100.0,62,-0.05,0.17,63.25,37.44,46.77,2.689,3.212,117,0,71.79,91.45,91.45,74.393,1.79,8.06,17.9,115,2.4,1.0,0.72,87.61,0.75,0.77,0.94,0.18,0.92,94.0,5.86,86.44,88.6,0.79,909.1,21.12,79.3,0.53,2.22,0.0,0.0,100.0,2.4,2.01,T1104
66,67,T1104TS147_1,147,SHT,78.42,100.0,62,-0.05,0.17,62.18,38.95,50.46,2.586,3.136,117,0,75.21,91.45,91.45,74.056,1.79,7.95,18.0,115,2.2,0.92,0.72,87.18,0.75,0.76,0.94,0.18,0.92,91.0,5.86,87.0,88.97,0.81,915.1,21.47,79.39,0.53,1.66,0.0,0.0,99.13,1.11,1.13,T1104
67,68,T1104TS204_1,204,Asclepius,77.99,100.0,68,-0.07,0.15,62.61,35.48,44.82,2.786,3.318,117,0,71.79,90.6,90.6,73.257,1.79,7.95,17.7,115,2.3,0.92,0.72,87.18,0.75,0.76,0.94,0.18,0.91,90.9,5.86,85.55,88.29,0.78,894.6,21.03,76.53,0.53,1.66,0.0,0.0,99.13,0.77,2.16,T1104
68,69,T1104TS074_1,074,DFolding,77.56,100.0,69,-0.1,0.13,61.75,38.22,48.2,2.644,3.225,117,0,84.62,94.02,94.02,86.194,1.85,7.95,17.7,113,2.1,1.0,0.72,85.47,0.75,0.76,0.94,0.18,0.92,99.6,5.86,87.04,89.08,0.8,899.8,21.14,80.54,0.52,2.22,0.0,0.87,99.13,1.1,0.98,T1104
69,70,T1104TS064_1,064,SHORTLE,77.56,100.0,69,-0.1,0.13,57.69,34.18,50.12,2.426,3.332,117,0,82.91,94.87,94.87,86.426,1.7,7.95,17.4,113,1.8,2.1,0.67,83.33,0.68,0.72,0.95,0.18,0.93,98.3,5.99,88.9,86.65,0.83,884.3,21.87,34.18,0.43,39.91,1.05,0.0,98.26,0.48,0.99,T1104
70,71,T1104TS354_1,354,hks1988,76.92,100.0,71,-0.13,0.09,56.84,32.57,44.23,2.543,3.096,117,0,77.78,88.89,88.89,83.749,1.91,7.43,16.7,115,2.4,1.26,0.67,84.61,0.71,0.74,0.94,0.17,0.91,100.0,5.86,87.09,85.81,0.79,852.7,22.55,84.16,0.46,4.99,0.0,0.0,100.0,0.67,0.49,T1104
71,72,T1104TS269_1,269,AP_1,76.92,100.0,71,-0.13,0.09,56.84,32.57,44.23,2.543,3.096,117,0,77.78,88.89,88.89,83.749,1.91,7.43,16.7,115,2.4,1.26,0.67,84.61,0.71,0.74,0.94,0.17,0.91,100.0,5.86,87.09,85.81,0.79,852.7,22.55,84.16,0.46,4.99,0.0,0.0,100.0,0.67,0.49,T1104
72,73,T1104TS362_1,362,MESHI,76.5,100.0,73,-0.16,0.07,57.27,24.54,43.98,2.461,3.229,117,0,79.49,94.02,94.02,86.201,1.84,7.95,17.5,115,2.2,3.95,0.65,84.19,0.66,0.71,0.94,0.18,0.92,99.4,5.86,87.95,87.66,0.81,892.5,22.22,80.17,0.39,47.09,32.63,6.09,85.22,0.64,0.55,T1104
73,74,T1104TS399_1,399,BeijingAIProtein,76.5,100.0,73,-0.16,0.07,56.41,32.61,43.83,2.549,3.097,117,0,78.63,88.89,88.89,80.444,1.78,7.54,16.6,115,2.4,1.26,0.67,85.04,0.7,0.73,0.94,0.18,0.91,100.0,5.86,86.95,85.56,0.79,847.9,22.25,83.89,0.47,3.32,1.05,0.0,97.39,0.64,0.48,T1104
74,75,T1104TS450_1,450s,ManiFold-serv,70.94,100.0,75,-0.47,-0.22,51.28,34.24,44.34,2.699,3.29,117,0,76.07,90.6,90.6,79.059,1.93,7.12,14.6,113,2.3,1.98,0.61,79.49,0.66,0.66,0.92,0.26,0.9,97.6,5.73,82.82,79.1,0.78,759.0,22.11,93.02,0.37,12.19,3.16,0.0,98.26,0.7,0.56,T1104
75,76,T1104TS073_1,073s,DFolding-refine,69.23,100.0,76,-0.57,-0.31,48.72,25.65,36.31,3.009,3.651,117,0,66.67,89.74,90.6,65.247,2.14,7.74,14.4,113,2.5,2.58,0.62,83.76,0.66,0.68,0.93,0.22,0.9,96.6,5.73,84.03,82.53,0.74,701.1,20.77,68.2,0.39,9.98,4.21,0.87,88.7,0.25,0.23,T1104
76,77,T1104TS478_1,478,Agemo,62.18,100.0,77,-0.97,-0.68,42.52,21.89,30.69,3.563,4.138,117,1,56.41,77.78,77.78,57.784,2.25,5.24,11.3,111,3.2,2.59,0.55,73.08,0.64,0.61,0.88,0.39,0.88,98.3,5.46,73.63,75.72,0.66,555.6,24.09,88.47,0.34,75.39,1.05,0.87,96.52,0.15,0.19,T1104
77,78,T1104TS052_1,052,Gonglab-THU,58.55,100.0,78,-1.17,-0.87,37.61,10.99,21.09,4.033,4.684,117,0,45.3,74.36,74.36,52.41,2.23,4.72,11.2,112,3.6,2.73,0.53,72.65,0.58,0.61,0.9,0.29,0.86,96.7,5.46,71.18,74.29,0.61,586.4,24.32,61.72,0.29,12.19,5.26,2.61,88.7,0.06,0.09,T1104
78,79,T1104TS315_1,315s,Cerebra,58.55,100.0,78,-1.17,-0.87,37.61,10.99,21.09,4.033,4.684,117,0,45.3,74.36,74.36,52.41,2.23,4.72,11.2,112,3.6,2.73,0.53,72.65,0.58,0.61,0.9,0.29,0.86,96.7,5.46,71.18,74.29,0.61,586.4,24.32,61.72,0.29,12.19,5.26,2.61,88.7,0.06,0.09,T1104
79,80,T1104TS370_1,370s,wuqi,58.12,100.0,80,-1.2,-0.9,37.18,18.22,26.35,3.978,4.642,117,4,51.28,82.05,82.05,58.793,2.41,5.35,12.0,112,3.4,1.55,0.55,73.5,0.61,0.61,0.9,0.31,0.85,94.3,5.6,72.58,75.12,0.64,398.3,22.42,67.86,0.31,3.33,1.05,1.74,93.91,0.06,0.0,T1104
80,81,T1104TS140_1,140,EMBER3D,53.85,100.0,81,-1.44,-1.12,32.7,16.57,24.36,4.954,5.411,117,0,44.44,68.38,68.38,48.42,2.4,4.72,7.5,102,3.6,1.0,0.48,62.39,0.58,0.53,0.79,0.53,0.82,92.9,5.19,61.71,70.77,0.58,430.3,27.96,52.03,0.24,2.22,0.0,0.87,98.26,0.0,0.01,T1104
81,82,T1104TS447_1,447,DELCLAB,52.56,100.0,82,-1.51,-1.19,33.98,11.41,18.02,5.372,5.694,117,0,36.75,64.96,66.67,48.523,2.46,3.06,7.2,87,3.1,2.13,0.51,65.39,0.62,0.56,0.76,0.52,0.8,98.3,5.04,64.17,71.66,0.53,420.7,26.29,72.91,0.3,32.69,1.05,0.87,97.39,0.05,0.05,T1104
82,83,T1104TS368_1,368s,FALCON2,51.71,100.0,83,-1.56,-1.23,36.54,0.0,21.02,6.783,6.816,117,1,44.44,54.7,55.56,51.072,1.96,2.95,6.0,75,3.1,,0.23,61.76,0.55,0.23,0.77,0.56,0.79,92.3,3.7,60.8,72.97,0.53,365.7,33.67,,0.12,180.99,,8.7,83.48,0.0,0.08,T1104
83,84,T1104TS488_1,488,CSRC_ICM,49.79,100.0,84,-1.67,-1.33,35.26,4.79,24.68,10.719,11.153,117,0,45.3,54.7,56.41,46.639,1.99,3.37,6.2,80,2.9,4.56,0.04,51.71,0.45,0.52,0.65,0.75,0.63,88.6,2.58,52.13,70.57,0.52,376.5,40.15,94.64,0.18,390.69,100.0,0.87,98.26,0.0,0.0,T1104
84,85,T1104TS219_1,219s,Pan_Server,37.82,100.0,85,-2.35,-1.96,22.22,6.76,15.85,8.213,8.817,117,2,22.22,44.44,47.86,35.765,2.38,2.85,2.9,75,4.2,2.6,0.37,43.59,0.5,0.4,0.68,0.99,0.68,82.8,2.58,48.15,58.55,0.42,223.0,31.91,84.46,0.14,2.77,11.58,6.09,80.87,0.02,0.02,T1104
85,86,T1104TS091_1,091,UNRES,26.07,100.0,86,-3.01,-2.58,15.38,3.75,9.28,12.333,12.73,117,0,0.0,0.0,32.48,16.61,2.67,-0.8,0.0,0,,1.22,0.33,27.78,0.47,0.35,0.56,1.38,0.49,74.7,2.58,37.55,55.5,0.27,,42.0,73.19,0.11,0.55,0.0,0.0,90.43,0.0,0.0,T1104
86,87,T1104TS333_1,333s,FALCON0,20.3,100.0,87,-3.34,-2.89,14.53,4.84,7.84,14.962,15.603,117,0,0.0,0.0,27.35,21.487,2.44,-1.52,0.0,0,,3.08,0.27,19.23,0.44,0.3,0.37,1.51,0.54,68.8,2.58,30.55,52.41,0.21,,83.76,73.45,0.09,84.21,2.11,0.87,93.04,0.0,0.0,T1104
87,88,T1104TS212_1,212s,BhageerathH-Pro,19.87,100.0,88,-3.37,-2.91,13.89,2.77,9.6,15.599,16.453,117,0,0.0,0.85,27.35,19.262,2.68,-0.69,0.0,0,,2.46,0.26,18.38,0.43,0.28,0.34,1.67,0.48,58.6,2.3,25.16,48.27,0.22,,71.89,37.42,0.07,28.27,1.05,1.74,91.3,0.01,0.01,T1104
88,89,T1104TS280_1,280s,ACOMPMOD,17.52,100.0,89,-3.5,-3.03,10.9,1.32,3.76,29.638,29.774,117,0,0.85,14.53,41.88,33.039,2.25,0.04,0.0,0,,3.34,0.21,13.25,0.38,0.22,0.25,2.28,0.5,47.8,3.07,19.39,39.01,0.17,,392.28,71.05,0.06,72.02,6.32,0.87,93.91,0.0,0.0,T1104
0,1,T1162TS288_1,288s,DFolding-server,98.06,100.0,1,0.51,0.5,91.36,74.37,87.56,0.976,1.325,168,1,98.21,99.4,100.0,99.494,0.61,10.21,30.0,168,0.7,0.99,0.92,97.02,0.86,0.91,0.99,0.04,0.98,95.9,6.7,98.91,96.55,0.98,2139.9,7.56,93.68,0.76,1.04,0.0,0.52,96.91,39.12,38.04,T1162
1,2,T1162TS097_1,097,Graphen_Medical,97.77,100.0,2,0.49,0.49,90.62,73.99,86.59,1.021,1.386,168,1,98.21,99.4,100.0,99.36,0.66,10.21,29.9,168,0.7,0.96,0.91,96.73,0.86,0.91,0.99,0.04,0.97,95.6,6.7,98.84,96.29,0.98,2132.1,8.3,93.95,0.77,0.69,0.0,0.52,96.39,34.13,33.16,T1162
2,3,T1162TS158_1,158s,MULTICOM_deep,97.77,100.0,2,0.49,0.49,89.73,74.89,86.55,1.004,1.311,168,1,97.62,99.4,100.0,99.308,0.64,10.21,31.0,168,0.7,1.08,0.91,97.62,0.85,0.91,0.99,0.04,0.97,95.6,6.7,98.71,95.91,0.98,2119.3,7.8,93.72,0.76,0.69,0.0,1.03,94.85,35.55,33.7,T1162
3,4,T1162TS018_1,018s,server_123,97.77,100.0,2,0.49,0.49,90.62,72.54,86.36,1.005,1.336,168,1,97.62,99.4,100.0,99.355,0.63,10.21,29.8,168,0.7,1.5,0.91,96.73,0.85,0.9,0.99,0.04,0.97,95.6,6.7,98.82,96.21,0.98,2126.7,7.89,94.54,0.76,1.74,1.27,4.12,91.75,40.98,39.3,T1162
4,5,T1162TS441_1,441,OpenFold,97.62,100.0,5,0.48,0.48,89.43,72.75,85.44,1.02,1.368,168,1,97.62,99.4,100.0,99.308,0.64,10.21,29.7,168,0.8,1.01,0.91,97.62,0.85,0.9,0.99,0.04,0.97,95.6,6.7,98.72,95.94,0.98,2114.2,7.5,93.73,0.75,0.35,0.0,0.0,94.33,30.23,28.81,T1162
5,6,T1162TS225_1,225,ShanghaiTech,97.62,100.0,5,0.48,0.48,90.03,73.97,86.36,1.006,1.321,168,1,97.62,99.4,100.0,99.355,0.63,10.21,31.1,168,0.7,0.79,0.91,97.62,0.85,0.91,0.99,0.04,0.97,95.6,6.7,98.81,96.27,0.98,2125.7,7.95,93.78,0.77,0.0,0.0,0.52,95.88,34.11,33.38,T1162
6,7,T1162TS403_1,403s,server_126,97.62,100.0,5,0.48,0.48,90.18,75.29,86.92,1.002,1.304,168,1,98.21,99.4,100.0,99.447,0.63,10.21,29.9,168,0.7,1.11,0.92,96.73,0.86,0.91,0.99,0.04,0.97,95.6,6.7,98.82,96.21,0.98,2128.4,7.84,93.02,0.76,0.69,0.0,1.03,94.33,35.4,34.66,T1162
7,8,T1162TS433_1,433,OpenFold-SingleSeq,97.62,100.0,5,0.48,0.48,89.43,72.75,85.44,1.02,1.368,168,1,97.62,99.4,100.0,99.308,0.64,10.21,29.7,168,0.8,1.01,0.91,97.62,0.85,0.9,0.99,0.04,0.97,95.6,6.7,98.72,95.94,0.98,2114.2,7.5,93.73,0.75,0.35,0.0,0.0,94.33,30.23,28.81,T1162
8,9,T1162TS162_1,162s,UM-TBM,97.62,100.0,5,0.48,0.48,89.73,73.74,86.72,0.997,1.311,168,1,97.62,99.4,100.0,99.261,0.63,10.21,29.8,168,0.7,0.91,0.91,97.32,0.85,0.91,0.99,0.04,0.97,95.6,6.7,98.73,95.93,0.98,2124.8,7.72,93.93,0.76,0.69,0.0,0.0,96.91,33.94,32.09,T1162
9,10,T1162TS092_1,092,Agemo_mix,97.47,100.0,10,0.47,0.47,88.98,73.42,85.31,1.043,1.372,168,1,97.62,99.4,100.0,99.084,0.69,10.21,29.6,168,0.8,1.26,0.9,97.62,0.84,0.9,0.99,0.04,0.97,95.6,6.7,98.53,95.34,0.97,2108.4,8.02,92.65,0.75,1.39,0.0,0.52,94.33,33.27,31.79,T1162
10,11,T1162TS208_1,208,B11L,97.47,100.0,10,0.47,0.47,89.88,73.63,86.24,1.01,1.345,168,1,97.62,99.4,100.0,99.308,0.64,10.21,31.1,168,0.8,0.99,0.91,97.62,0.85,0.91,0.99,0.04,0.97,95.6,6.7,98.71,95.9,0.98,2123.1,7.92,93.61,0.75,1.04,0.0,0.0,96.91,34.05,32.36,T1162
11,12,T1162TS383_1,383s,server_124,97.32,100.0,12,0.46,0.46,90.18,74.85,86.88,0.998,1.296,168,1,97.62,99.4,100.0,99.308,0.62,10.21,29.8,168,0.7,1.11,0.91,97.32,0.85,0.91,0.99,0.04,0.97,95.6,6.7,98.75,95.97,0.98,2124.4,7.77,93.7,0.77,0.69,0.63,1.03,94.33,39.35,37.91,T1162
12,13,T1162TS204_1,204,Asclepius,97.32,100.0,12,0.46,0.46,89.88,74.68,86.85,1.001,1.297,168,1,97.62,99.4,100.0,99.308,0.62,10.21,29.8,168,0.7,1.16,0.91,97.32,0.85,0.91,0.99,0.04,0.97,95.6,6.7,98.76,96.05,0.98,2123.8,7.75,93.62,0.77,1.04,0.0,1.03,94.85,38.59,36.83,T1162
13,14,T1162TS278_1,278,PEZYFoldings,97.32,100.0,12,0.46,0.46,88.84,74.05,85.67,1.031,1.391,168,1,97.62,99.4,100.0,99.266,0.67,10.21,29.6,168,0.8,1.11,0.91,97.62,0.84,0.91,0.99,0.04,0.97,95.6,6.7,98.61,95.55,0.98,2112.4,7.96,92.85,0.75,0.69,0.63,2.06,94.33,34.71,30.55,T1162
14,15,T1162TS261_1,261s,server_122,97.32,100.0,12,0.46,0.46,90.18,74.86,86.89,0.998,1.296,168,1,97.62,99.4,100.0,99.402,0.62,10.21,29.8,168,0.7,1.08,0.91,97.32,0.85,0.91,0.99,0.04,0.97,95.6,6.7,98.76,95.98,0.98,2125.4,7.77,93.72,0.77,0.69,0.63,0.52,94.85,39.34,37.8,T1162
15,16,T1162TS264_1,264s,server_125,97.32,100.0,12,0.46,0.46,90.18,74.86,86.89,0.998,1.296,168,1,97.62,99.4,100.0,99.402,0.62,10.21,29.8,168,0.7,1.08,0.91,97.32,0.85,0.91,0.99,0.04,0.97,95.6,6.7,98.76,95.98,0.98,2125.4,7.77,93.72,0.77,0.69,0.63,0.52,94.85,39.34,37.8,T1162
16,17,T1162TS320_1,320,Elofsson,97.17,100.0,17,0.45,0.45,88.24,72.13,85.12,1.034,1.382,168,1,97.62,99.4,100.0,99.128,0.68,10.21,29.8,168,0.8,1.16,0.91,97.02,0.85,0.91,0.99,0.04,0.97,95.6,6.7,98.74,96.01,0.98,2122.1,7.84,93.49,0.75,1.04,0.0,1.55,94.85,37.55,35.82,T1162
17,18,T1162TS342_1,342,hFold_human,97.17,100.0,17,0.45,0.45,88.54,71.78,84.76,1.039,1.381,168,1,97.62,99.4,100.0,99.12,0.68,10.21,29.6,168,0.8,1.43,0.9,97.62,0.84,0.9,0.99,0.04,0.97,95.6,6.7,98.55,95.29,0.98,2109.9,7.94,93.04,0.74,1.04,1.9,2.06,93.81,35.97,34.12,T1162
18,19,T1162TS270_1,270s,NBIS-af2-standard,97.17,100.0,17,0.45,0.45,88.24,72.13,85.12,1.034,1.382,168,1,97.62,99.4,100.0,99.128,0.68,10.21,29.8,168,0.8,1.16,0.91,97.02,0.85,0.91,0.99,0.04,0.97,95.6,6.7,98.74,96.01,0.98,2122.1,7.84,93.53,0.75,1.04,0.0,1.55,94.85,37.97,35.82,T1162
19,20,T1162TS461_1,461,colabfold_human,97.02,100.0,20,0.45,0.44,88.54,71.41,85.17,1.013,1.356,168,1,98.21,99.4,100.0,99.306,0.66,10.21,29.7,168,0.7,1.06,0.9,97.02,0.84,0.9,0.99,0.04,0.97,95.6,6.7,98.72,95.82,0.98,2115.5,7.71,92.67,0.74,0.35,0.0,2.58,93.3,32.37,31.19,T1162
20,21,T1162TS074_1,074,DFolding,97.02,100.0,20,0.45,0.44,88.69,74.62,86.16,1.049,1.352,168,1,97.62,99.4,100.0,99.125,0.67,10.21,31.0,168,0.8,0.5,0.91,97.62,0.85,0.9,0.99,0.04,0.97,95.6,6.7,98.76,96.12,0.98,2120.1,8.07,92.81,0.76,0.0,0.0,0.52,98.45,40.48,39.2,T1162
21,22,T1162TS353_1,353s,hFold,97.02,100.0,20,0.45,0.44,88.39,72.3,85.1,1.031,1.372,168,1,97.62,99.4,100.0,99.12,0.67,10.21,29.6,168,0.8,1.4,0.9,97.62,0.84,0.9,0.99,0.04,0.97,95.6,6.7,98.58,95.38,0.98,2112.1,7.93,93.2,0.75,1.04,1.9,1.55,94.33,36.2,34.72,T1162
22,23,T1162TS446_1,446s,ColabFold,97.02,100.0,20,0.45,0.44,88.54,71.41,85.17,1.013,1.356,168,1,98.21,99.4,100.0,99.306,0.66,10.21,29.7,168,0.7,1.06,0.9,97.02,0.84,0.9,0.99,0.04,0.97,95.6,6.7,98.72,95.82,0.98,2115.5,7.71,92.67,0.74,0.35,0.0,2.58,93.3,32.37,31.19,T1162
23,24,T1162TS037_1,037,Wallner,97.02,100.0,20,0.45,0.44,88.69,73.95,85.72,1.018,1.345,168,1,98.21,99.4,100.0,99.084,0.69,10.21,29.7,168,0.8,1.11,0.91,96.73,0.85,0.9,0.99,0.04,0.97,95.6,6.7,98.68,95.66,0.98,2117.2,7.67,93.22,0.75,0.69,0.63,1.55,94.33,32.55,30.79,T1162
24,25,T1162TS188_1,188s,GuijunLab-DeepDA,96.88,100.0,25,0.44,0.43,87.35,71.68,84.34,1.046,1.378,168,1,97.62,99.4,100.0,99.026,0.69,10.21,29.5,168,0.8,1.19,0.9,97.62,0.84,0.9,0.99,0.04,0.97,95.6,6.7,98.6,95.54,0.97,2106.1,7.93,93.23,0.75,1.04,0.63,1.03,94.33,34.79,33.07,T1162
25,26,T1162TS117_1,117,QUIC,96.88,100.0,25,0.44,0.43,84.22,36.15,70.78,1.08,2.135,168,1,97.62,99.4,100.0,99.029,0.75,10.21,28.4,168,0.8,3.83,0.72,89.58,0.65,0.77,0.99,0.07,0.96,95.6,6.58,97.39,91.93,0.97,2028.3,8.52,76.93,0.39,24.64,33.54,7.22,75.26,1.35,3.34,T1162
26,27,T1162TS098_1,098s,GuijunLab-Assembly,96.88,100.0,25,0.44,0.43,88.98,72.71,85.88,1.015,1.338,168,2,97.62,99.4,100.0,99.167,0.65,10.21,29.8,168,0.8,1.16,0.91,97.32,0.85,0.91,0.99,0.04,0.97,95.6,6.7,98.69,95.82,0.98,2121.5,7.67,93.94,0.76,0.69,0.63,2.06,93.3,34.77,33.17,T1162
27,28,T1162TS169_1,169,GuijunLab-Human,96.88,100.0,25,0.44,0.43,87.35,71.68,84.34,1.046,1.378,168,1,97.62,99.4,100.0,99.026,0.69,10.21,29.5,168,0.8,1.19,0.9,97.62,0.84,0.9,0.99,0.04,0.97,95.6,6.7,98.6,95.54,0.97,2106.1,7.93,93.23,0.75,1.04,0.63,1.03,94.33,34.79,33.07,T1162
28,29,T1162TS481_1,481s,GuijunLab-Meta,96.88,100.0,25,0.44,0.43,88.98,72.71,85.88,1.015,1.338,168,2,97.62,99.4,100.0,99.167,0.65,10.21,29.8,168,0.8,1.16,0.91,97.32,0.85,0.91,0.99,0.04,0.97,95.6,6.7,98.69,95.82,0.98,2121.5,7.67,93.94,0.76,0.69,0.63,2.06,93.3,34.77,33.17,T1162
29,30,T1162TS011_1,011s,GinobiFold-SER,96.43,100.0,30,0.41,0.4,88.1,71.06,84.34,1.011,1.415,168,2,98.21,99.4,100.0,98.893,0.73,10.21,29.3,168,0.9,1.65,0.9,98.21,0.83,0.9,0.99,0.06,0.97,95.6,6.7,98.51,95.36,0.97,2092.6,6.21,92.56,0.73,3.12,0.0,3.09,90.21,36.74,33.78,T1162
30,31,T1162TS462_1,462s,MultiFOLD,96.28,100.0,31,0.4,0.39,86.45,70.94,82.88,1.063,1.438,168,1,98.21,99.4,100.0,98.796,0.74,10.21,29.4,168,0.8,1.08,0.9,97.02,0.83,0.9,0.99,0.04,0.97,95.6,6.7,98.41,94.72,0.97,2094.6,8.06,90.89,0.73,0.69,0.0,0.52,94.85,26.48,26.02,T1162
31,32,T1162TS180_1,180,McGuffin,96.28,100.0,31,0.4,0.39,86.45,70.94,82.88,1.063,1.438,168,1,98.21,99.4,100.0,98.796,0.74,10.21,29.4,168,0.8,1.08,0.9,97.02,0.83,0.9,0.99,0.04,0.97,95.6,6.7,98.41,94.72,0.97,2094.6,8.06,90.89,0.73,0.69,0.0,0.52,94.85,26.48,26.02,T1162
32,33,T1162TS086_1,086s,MULTICOM_qa,96.13,100.0,33,0.39,0.38,88.24,70.31,83.5,1.126,1.415,168,2,97.62,99.4,100.0,98.661,0.78,10.21,29.6,168,0.9,0.91,0.91,97.62,0.85,0.91,0.99,0.04,0.97,95.6,6.7,98.69,96.1,0.97,2112.7,8.14,92.8,0.76,0.35,0.0,0.52,95.88,42.9,40.72,T1162
33,34,T1162TS248_1,248,Manifold,96.13,100.0,33,0.39,0.38,87.8,70.42,83.44,1.124,1.427,168,1,97.62,99.4,100.0,98.708,0.77,10.21,29.6,168,0.9,1.01,0.9,97.62,0.85,0.9,0.99,0.04,0.97,95.6,6.7,98.62,95.86,0.97,2107.7,8.21,91.79,0.76,0.69,0.0,0.0,95.88,40.76,39.72,T1162
34,35,T1162TS035_1,035s,Manifold-E,96.13,100.0,33,0.39,0.38,87.8,70.42,83.44,1.124,1.427,168,1,97.62,99.4,100.0,98.708,0.77,10.21,29.6,168,0.9,1.01,0.9,97.62,0.85,0.9,0.99,0.04,0.97,95.6,6.7,98.62,95.86,0.97,2107.7,8.21,91.79,0.76,0.69,0.0,0.0,95.88,40.76,39.72,T1162
35,36,T1162TS282_1,282s,GuijunLab-Threader,96.13,100.0,33,0.39,0.38,86.16,70.34,82.76,1.044,1.431,168,1,98.21,99.4,100.0,98.791,0.73,10.21,29.3,168,0.8,1.05,0.9,96.43,0.84,0.9,0.99,0.04,0.97,95.6,6.7,98.46,94.92,0.97,2091.5,7.67,90.22,0.73,0.69,0.0,1.55,95.36,18.9,18.77,T1162
36,37,T1162TS367_1,367,MULTICOM,95.98,100.0,37,0.38,0.37,87.8,70.7,83.31,1.132,1.412,168,2,97.62,99.4,100.0,98.702,0.77,10.21,29.5,168,0.9,1.04,0.9,97.62,0.85,0.9,0.99,0.04,0.97,95.6,6.7,98.59,95.76,0.97,2101.1,8.23,92.17,0.75,0.35,0.0,1.03,93.81,41.44,39.84,T1162
37,38,T1162TS475_1,475s,MULTICOM_refine,95.98,100.0,37,0.38,0.37,87.65,70.92,83.33,1.133,1.412,168,2,97.62,99.4,100.0,98.611,0.77,10.21,29.5,168,0.9,1.08,0.9,97.62,0.85,0.9,0.99,0.04,0.97,95.6,6.7,98.59,95.76,0.97,2101.2,8.18,92.19,0.75,0.35,0.63,1.55,92.78,40.9,39.34,T1162
38,39,T1162TS229_1,229s,Yang-Server,95.98,100.0,37,0.38,0.37,87.35,69.64,82.64,1.128,1.436,168,1,97.62,99.4,100.0,98.705,0.78,10.21,29.4,168,0.9,0.91,0.88,96.94,0.84,0.89,0.99,0.04,0.97,95.2,6.7,98.49,95.4,0.97,2098.5,8.35,89.78,0.73,0.35,0.0,0.0,95.88,34.83,33.13,T1162
